X_Coordinate,Y_Coordinate
0.000000000000000000e+00,0.000000000000000000e+00
3.649415457073381785e-04,3.754279345220981699e-04
4.995609062502844727e-04,4.304762677711501998e-04
7.554299662979052513e-04,5.024779198578182594e-04
1.360012026163737045e-03,5.810699231207495756e-04
2.507881719139203915e-03,5.593276711087491731e-04
3.615467715066746947e-03,4.224180969101751226e-04
4.695533870016658541e-03,2.120150599041721942e-04
6.789527854303734587e-03,-3.679011168927453883e-04
8.803495225344569117e-03,-1.116723385017178317e-03
1.073880636283390880e-02,-2.009135989732508190e-03
1.259278943901573009e-02,-3.031887477651988745e-03
1.435686687708228292e-02,-4.182256975637228640e-03
1.602660599715802214e-02,-5.451166114835855579e-03
1.759663717655605628e-02,-6.831589035011852683e-03
1.906628191057787441e-02,-8.311790153911834123e-03
2.043601665736250253e-02,-9.880809182725713846e-03
2.170739645982300292e-02,-1.152859146781788288e-02
2.288256884053896031e-02,-1.324641602605026655e-02
2.396562292481203837e-02,-1.502569745966637893e-02
2.496421269472005183e-02,-1.685713385806150710e-02
2.588892817386282547e-02,-1.873183227610009452e-02
2.674318633198405001e-02,-2.064777768539132266e-02
2.752807612940419077e-02,-2.260492322470209273e-02
2.824597496735277435e-02,-2.460270971157809544e-02
2.889795951497611814e-02,-2.664151738887410303e-02
2.887562997357053657e-02,-2.665175008093760567e-02
2.769733614937569532e-02,-2.487851435496715030e-02
2.647354597312619531e-02,-2.318503428381626583e-02
2.520533611396832269e-02,-2.157169011033969325e-02
2.389508397313163529e-02,-2.003792265208317186e-02
2.254387851093658801e-02,-1.858368504781356123e-02
2.115513669712686465e-02,-1.720696226914005325e-02
1.973944855530230039e-02,-1.589886137092710525e-02
1.830446806754069608e-02,-1.465008044256998695e-02
1.685428435914373274e-02,-1.345203408631222286e-02
1.539104495269098295e-02,-1.229600131901573308e-02
1.391630489109551422e-02,-1.117192748704491645e-02
1.243054063249635077e-02,-1.006885230158967304e-02
1.093307367219497651e-02,-8.975040180396624823e-03
9.418534387504512093e-03,-7.883465263229763598e-03
7.882490098549400220e-03,-6.785049181236703190e-03
6.316363228521901241e-03,-5.677071061279058764e-03
4.717481949665982069e-03,-4.546279449970084922e-03
3.087216641676398046e-03,-3.367358592573159361e-03
2.263374159595511140e-03,-2.743634429447079030e-03
1.439198857897279514e-03,-2.076611014823460076e-03
6.274545926519936156e-04,-1.324614489323159248e-03
2.417849256843322345e-04,-8.704759265452865699e-04
9.960360875690721675e-05,-6.503692454443345955e-04
3.477999090340620357e-05,-5.217213108577887842e-04
0.000000000000000000e+00,0.000000000000000000e+00
